method,best_degree,complexity,r2_train,success,dim,n_samples,runtime_s,memory_peak_mb,n_terms,complexities_per_dim,complexity_mean,complexity_std,n_projections
standard,5.0,17.67877973720331,0.9895263144549415,True,2,100,0.013267200003610924,0.10218334197998047,,,,,
sparse,5.0,7.5,0.7167155373426789,True,2,100,0.017856000005849637,0.06742668151855469,5.0,,,,
random_projection,5.0,17.571789807635167,0.9934124404590458,True,2,100,0.012430899994797073,0.06716346740722656,,,,,
additive,,9.97722437217563,,True,2,100,0.013306799999554642,0.02615833282470703,,"[4.993771017089894, 4.983453355085736]",,,
standard,5.0,16.26363633763413,0.9901540019017933,True,2,500,0.013499599997885525,0.2183704376220703,,,,,
sparse,5.0,7.5,0.7505881557494967,True,2,500,0.019089399997028522,0.2620391845703125,5.0,,,,
random_projection,5.0,16.262603857721356,0.9902967158207642,True,2,500,0.01341600000159815,0.2173328399658203,,,,,
additive,,9.436006456382529,,True,2,500,0.014716799996676855,0.05027580261230469,,"[4.719580473164366, 4.716425983218164]",,,
standard,5.0,35.010066384965405,0.9969631582515708,True,3,150,0.014568700004019774,0.20418548583984375,,,,,
sparse,5.0,9.5,0.7019683558384269,True,3,150,0.018921999988378957,0.21782493591308594,9.0,,,,
random_projection,5.0,34.842498256244895,0.9948987763991683,True,3,150,0.013125000012223609,0.20527267456054688,,,,,
additive,,14.518935625910203,,True,3,150,0.020859099997323938,0.026346206665039062,,"[4.890836774913705, 4.782667670548654, 4.845431180447843]",,,
standard,5.0,33.65503656214446,0.9940951500686099,True,3,500,0.020143600006122142,0.5618057250976562,,,,,
sparse,5.0,8.0,0.7423974495487556,True,3,500,0.02032679998956155,0.5837821960449219,6.0,,,,
random_projection,5.0,33.65975341528373,0.995213627745663,True,3,500,0.017837100007454865,0.5614891052246094,,,,,
additive,,13.989313096453055,,True,3,500,0.02177069999743253,0.05043601989746094,,"[4.65002809353108, 4.6551680883217275, 4.6841169146002475]",,,
standard,5.0,132.14369240324112,1.0,True,5,250,0.04431599999952596,1.3262691497802734,,,,,
sparse,5.0,12.5,0.6864803325984195,True,5,250,0.02480289999220986,1.2364768981933594,15.0,,,,
random_projection,,,,True,5,250,0.09363109999685548,0.12646961212158203,,,13.230554110972182,0.8476328613176346,10.0
additive,,23.375134215299,,True,5,250,0.03627710000728257,0.034160614013671875,,"[4.710083434835862, 4.6706105220400005, 4.573176751366251, 4.724305363771114, 4.6969581432857685]",,,
standard,5.0,131.91604941551813,0.9986345962040942,True,5,500,0.06356330000562593,2.532073974609375,,,,,
sparse,5.0,13.0,0.7137321800923029,True,5,500,0.027346799994120374,2.387178421020508,16.0,,,,
random_projection,,,,True,5,500,0.09683779999613762,0.22190284729003906,,,12.927910250679691,0.5092839661501618,10.0
additive,,23.23984121167063,,True,5,500,0.03732730000047013,0.05132484436035156,,"[4.661263079298606, 4.62830277225517, 4.64915430779663, 4.677022844495008, 4.624098207825218]",,,
standard,4.0,251.2754646046939,1.0,True,8,400,0.16543730000557844,10.543254852294922,,,,,
sparse,5.0,18.5,0.756413242104911,True,8,400,0.05637530000240076,9.549886703491211,27.0,,,,
random_projection,,,,True,8,400,0.09737610000593122,0.1837158203125,,,12.532055826100574,0.01719951343172057,10.0
additive,,36.89636049992728,,True,8,400,0.05932369999936782,0.04570579528808594,,"[4.591145595942898, 4.599345257875754, 4.579809560301876, 4.635689143013842, 4.627503504229748, 4.635571322030453, 4.596019148544149, 4.631276967988564]",,,
standard,5.0,648.3053307500585,1.0,True,8,800,0.3535448000038741,22.620946884155273,,,,,
sparse,5.0,18.5,0.7410453539568669,True,8,800,0.09375139999610838,18.971548080444336,27.0,,,,
random_projection,,,,True,8,800,0.10615320000215434,0.3370170593261719,,,12.522054416280822,0.014265917738645823,10.0
additive,,36.686836725804284,,True,8,800,0.06148410000605509,0.07256126403808594,,"[4.576915619340433, 4.57978244975232, 4.572824854465403, 4.5966270745210975, 4.613174692901509, 4.592243572999344, 4.589581695876363, 4.565686765947814]",,,
standard,4.0,504.15544279194216,1.0,True,10,500,0.41066599999612663,29.186372756958008,,,,,
sparse,5.0,31.0,0.6860112978864688,True,10,500,0.16306739998981357,27.68504524230957,52.0,,,,
random_projection,,,,True,10,500,0.09277339999971446,0.2222156524658203,,,12.522419841301067,0.01109035075099728,10.0
additive,,46.00761114093696,,True,10,500,0.07292730000335723,0.053104400634765625,,"[4.634626189366065, 4.54930635427286, 4.595750494934206, 4.601468813650658, 4.610758277027618, 4.619456116329926, 4.581166305937401, 4.606732531013262, 4.609623335620544, 4.598722722784413]",,,
standard,4.0,504.2340151637708,1.0,True,10,1000,0.6532068999949843,60.7280216217041,,,,,
sparse,5.0,28.0,0.7254344834640851,True,10,1000,0.35834520000207704,55.17242240905762,46.0,,,,
random_projection,,,,True,10,1000,0.1189310000045225,0.4136619567871094,,,12.513350850474591,0.006627221670070025,10.0
additive,,45.662917184138934,,True,10,1000,0.07099269999889657,0.08641624450683594,,"[4.565240408777303, 4.557556601819984, 4.567491447395536, 4.552946003273107, 4.5626387303071425, 4.575429004012138, 4.560477463570341, 4.581121656091273, 4.564709192941021, 4.575306675951094]",,,
standard,3.0,410.65483924238015,1.0,True,15,750,1.1861451000004308,216.83371543884277,,,,,
sparse,5.0,45.5,0.7326925552912931,True,15,750,1.319917799992254,213.60248947143555,81.0,,,,
random_projection,,,,True,15,750,0.11879670000053011,0.31818199157714844,,,12.506911698731631,0.0029359806983077644,10.0
additive,,68.46980192969411,,True,15,750,0.12815340000088327,0.071319580078125,,"[4.581414739709525, 4.563884703996765, 4.550923467167452, 4.578889732338639, 4.574006572491629, 4.582063039754896, 4.558050572375644, 4.576667963796305, 4.553708410784261, 4.573101717311433, 4.558657410224285, 4.554904159986403, 4.565139576695658, 4.542460577576643, 4.555929285484588]",,,
standard,4.0,1941.5676020835422,1.0,True,15,1500,2.921474100003252,438.6106758117676,,,,,
sparse,5.0,39.5,0.727084291049642,True,15,1500,4.54951820000133,426.50846672058105,69.0,,,,
random_projection,,,,True,15,1500,0.12747110000054818,0.6051712036132812,,,12.503696771444826,0.0017288530259566234,10.0
additive,,68.21162561178757,,True,15,1500,0.11355700000422075,0.12177658081054688,,"[4.56181938602226, 4.5454667770362365, 4.544196425031814, 4.545779288942315, 4.545116388342791, 4.551403744654217, 4.552435782783252, 4.553920859346722, 4.5427953287995395, 4.549870900964349, 4.530158853472047, 4.544433541614903, 4.556094459672701, 4.542958662506884, 4.545175212597537]",,,
standard,3.0,888.0780590043161,1.0,True,20,1000,4.387401600004523,980.479154586792,,,,,
sparse,5.0,71.5,0.7256186929563716,True,20,1000,15.188304999988759,975.0105018615723,133.0,,,,
random_projection,,,,True,20,1000,0.11436989999492653,0.4138908386230469,,,12.504942053279185,0.0026665373022436026,10.0
additive,,91.00385388906177,,True,20,1000,0.1506026999995811,0.08985328674316406,,"[4.539003142758392, 4.5563792604613615, 4.540940177836252, 4.5470133161761375, 4.545022010351881, 4.5597571661119565, 4.5609605809178095, 4.5587175223736045, 4.544831463255262, 4.535166436592188, 4.52382400544141, 4.558139467796029, 4.551816363259701, 4.55395394139658, 4.556891710229994, 4.532393228253286, 4.539849862359386, 4.562464422042304, 4.571673964755263, 4.565055846692971]",,,
standard,3.0,888.1393366613904,1.0,True,20,2000,10.867834900011076,1968.797077178955,,,,,
sparse,5.0,63.0,0.7371337761501011,True,20,2000,18.897136899991892,1947.8376941680908,116.0,,,,
random_projection,,,,True,20,2000,0.13282519999484066,0.7966289520263672,,,12.502924748427377,0.0018994970641143243,10.0
additive,,90.67838458870035,,True,20,2000,0.16743030000361614,0.1574554443359375,,"[4.5228289095899, 4.53185491418571, 4.534799560258518, 4.538720413747235, 4.519148155377237, 4.537056066383727, 4.531946124842149, 4.535901126291989, 4.532938032152437, 4.533417315024685, 4.537103384862287, 4.545063751897146, 4.540015999094802, 4.536338421800567, 4.536539414619737, 4.527364678050577, 4.533332773377523, 4.538183474828723, 4.532181249410287, 4.533650822905104]",,,
